control_wpid,courseID,key,death,dayindex,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,class_size,control_wikied,indiv_group1,indiv_group2,indiv_group,group_recheck
Adalley,2,Adalley2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Alasocha,2,Alasocha2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Alex Jia,2,Alex Jia2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Amyrkmcdonald,2,Amyrkmcdonald2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Andrewconsiders,2,Andrewconsiders2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Annataz,2,Annataz2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Aylin Tavakoli,2,Aylin Tavakoli2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
CREdwards,2,CREdwards2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
D.lupick,2,D.lupick2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
DJsametz,2,DJsametz2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
EmilycarriganG,2,EmilycarriganG2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Ernettita,2,Ernettita2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Gamesketcher,2,Gamesketcher2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Hayesjess,2,Hayesjess2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Holliemckeil,2,Holliemckeil2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Ignatiusbut,2,Ignatiusbut2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Injeniero,2,Injeniero2,1,146,2,208,208,2,0,0,0,1,32,1,1,1,1,1
Jkivettk,2,Jkivettk2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Jlfbrown,2,Jlfbrown2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Kmcconnel,2,Kmcconnel2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Laratboulos,2,Laratboulos2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Lettucesmith,2,Lettucesmith2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Lucas.ozols.mongeau,2,Lucas.ozols.mongeau2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Meghan murray902,2,Meghan murray9022,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Mtp109,2,Mtp1092,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Ocean Luo,2,Ocean Luo2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Paulhillsdon,2,Paulhillsdon2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Sarahejm,2,Sarahejm2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Slarose,2,Slarose2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
SuperFreake,2,SuperFreake2,1,15,2,321.5,322,1,0,1,0,1,32,1,1,1,1,1
Thetmunplanner,2,Thetmunplanner2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Wongvvn,2,Wongvvn2,1,0,1,0,0,0,0,0,0,0,32,1,1,1,1,1
Amaziarz,3,Amaziarz3,1,0,1,0,0,0,0,0,0,0,20,1,1,1,-1,-1
Bking22,3,Bking223,1,1,2,-8.5,0,0,0,2,0,0,20,1,1,1,-1,-1
Boulderboy123,3,Boulderboy1233,1,2,4,297.5,1158,1,0,3,0,1,20,1,1,1,-1,-1
Caseyfarrissey,3,Caseyfarrissey3,1,1,11,99.18181818,104.1,10,0,1,0,2,20,1,1,1,-1,-1
Cassie909,3,Cassie9093,1,0,1,0,0,0,0,0,0,0,20,1,1,1,1,1
Celine.silva1,3,Celine.silva13,1,0,1,0,0,0,0,0,0,0,20,1,1,1,1,1
Dciccoli,3,Dciccoli3,1,0,1,0,0,0,0,0,0,0,20,1,1,1,1,-1
Ermoore31,3,Ermoore313,1,0,1,0,0,0,0,0,0,0,20,1,1,1,1,1
Evanm3195,3,Evanm31953,1,0,1,0,0,0,0,0,0,0,20,1,1,1,-1,-1
Eviarengo,3,Eviarengo3,1,1,7,692.5714286,1922.25,4,0,3,0,1,20,1,1,1,1,-1
Jajacobs7694,3,Jajacobs76943,1,0,1,0,0,0,0,0,0,0,20,1,1,1,1,1
Jammer092,3,Jammer0923,1,267,4,7.75,7.75,4,0,0,0,1,20,1,1,1,-1,-1
Jmmcgill,3,Jmmcgill3,1,0,1,0,0,0,0,0,0,0,20,1,1,1,-1,-1
Lmeola,3,Lmeola3,1,0,1,0,0,0,0,0,0,0,20,1,1,1,1,1
Megansmith34,3,Megansmith343,1,0,2,465,465,2,0,0,0,1,20,1,1,1,-1,-1
Mgattoni,3,Mgattoni3,1,1,5,435.8,435.8,5,0,0,0,1,20,1,1,1,-1,-1
Mikeiwata,3,Mikeiwata3,1,0,1,0,0,0,0,0,0,0,20,1,1,1,-1,-1
Sjaberman,3,Sjaberman3,1,0,1,0,0,0,0,0,0,0,20,1,1,1,-1,-1
Tbartlett16,3,Tbartlett163,1,0,1,0,0,0,0,0,0,0,20,1,1,1,-1,-1
Yuhanqiu,3,Yuhanqiu3,1,0,1,0,0,0,0,0,0,0,20,1,1,1,-1,-1
Caseyhartnu,4,Caseyhartnu4,1,0,1,0,0,0,0,0,0,0,11,1,1,1,-1,-1
ConnorLantz,4,ConnorLantz4,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
Jlzeldin,4,Jlzeldin4,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
Katiebraun,4,Katiebraun4,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
Kbonefont,4,Kbonefont4,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
Kcp199,4,Kcp1994,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
Shippleheuser,4,Shippleheuser4,1,0,1,0,0,0,0,0,0,0,11,1,1,1,-1,-1
Vrutherford99,4,Vrutherford994,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
WiKEW,4,WiKEW4,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
Woodj2012,4,Woodj20124,1,708,4,-1.25,-1.25,4,0,0,0,3,11,1,1,1,1,1
Woolrid1,4,Woolrid14,1,0,1,0,0,0,0,0,0,0,11,1,1,1,1,1
Allanwlevy,6,Allanwlevy6,1,0,1,4220,0,0,0,1,0,0,19,1,1,1,1,1
Amberlyjoslinwang,6,Amberlyjoslinwang6,1,0,7,149.1428571,149.1428571,7,0,0,0,1,19,1,1,1,1,1
Andre Salehi,6,Andre Salehi6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Brendaw8,6,Brendaw86,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Darren.y.huang,6,Darren.y.huang6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Ekhar17,6,Ekhar176,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
ElegantNiceFlamingo,6,ElegantNiceFlamingo6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Gaylamarlohahn,6,Gaylamarlohahn6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
GhasMak,6,GhasMak6,1,0,4,754.75,511.6666667,3,0,1,0,1,19,1,1,1,1,1
Illiterato,6,Illiterato6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Ireneyoungaha,6,Ireneyoungaha6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Jesslin2411,6,Jesslin24116,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Kienn313,6,Kienn3136,1,0,1,2246,2246,1,0,0,0,1,19,1,1,1,1,1
Kyrawade,6,Kyrawade6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
M.hom,6,M.hom6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Nikduque,6,Nikduque6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Renee Sweeney,6,Renee Sweeney6,1,1,2,2327,0,0,0,2,0,0,19,1,1,1,1,1
Shea.k,6,Shea.k6,1,0,1,0,0,0,0,0,0,0,19,1,1,1,1,1
Steffikwok,6,Steffikwok6,1,339,2,147.5,40,1,1,0,0,1,19,1,1,1,1,1
Churong,8,Churong8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Imiyar,8,Imiyar8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Jimchu10,8,Jimchu108,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Korccw,8,Korccw8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Ludawang,8,Ludawang8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Lyjacksonjy,8,Lyjacksonjy8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Panthersuper,8,Panthersuper8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Saleet001,8,Saleet0018,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Szuyulee,8,Szuyulee8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
TaeyoungYoon,8,TaeyoungYoon8,1,156,29,304.2758621,0,0,0,14,14,0,12,1,1,1,1,1
Yjzhouchem,8,Yjzhouchem8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Yoonho Kim,8,Yoonho Kim8,1,0,1,0,0,0,0,0,0,0,12,1,1,1,1,1
Afranco247,9,Afranco2479,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Aglorioso,9,Aglorioso9,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Brieanna Martin,9,Brieanna Martin9,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Chang.veronicas,9,Chang.veronicas9,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Changveronica,9,Changveronica9,1,670,3,763.6666667,978.5,2,0,1,0,1,18,1,1,1,1,1
DianaLee123,9,DianaLee1239,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Dkzheng,9,Dkzheng9,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Dramirez92,9,Dramirez929,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Enguyen26,9,Enguyen269,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Ichamu,9,Ichamu9,1,2,8,259.5,1383,1,0,3,2,1,18,1,1,1,1,1
Jjqt,9,Jjqt9,1,2,11,269.3636364,341.5,8,1,1,0,1,18,1,1,1,1,1
Mchao29,9,Mchao299,1,2,7,118.7142857,118.7142857,7,0,0,0,1,18,1,1,1,1,1
Mgarzo,9,Mgarzo9,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Nikithagirish,9,Nikithagirish9,1,2,25,689.68,717.7083333,24,0,0,1,2,18,1,1,1,1,1
Pdavidson12,9,Pdavidson129,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Seliciahou,9,Seliciahou9,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
Shayannhendricks,9,Shayannhendricks9,1,729,3,1595,1595,3,0,0,0,2,18,1,1,1,1,1
Yvonnedorantes,9,Yvonnedorantes9,1,0,1,0,0,0,0,0,0,0,18,1,1,1,1,1
267 group F,11,267 group F11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Aewells14,11,Aewells1411,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Ahc12,11,Ahc1211,1,14,4,2.75,2.75,4,0,0,0,2,27,1,1,1,1,1
Akg16,11,Akg1611,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
AlexisCarter267,11,AlexisCarter26711,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Artfuldodger08,11,Artfuldodger0811,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
BellaO 123,11,BellaO 12311,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
BellaO 2212,11,BellaO 221211,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Daltonator94,11,Daltonator9411,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Danidexter,11,Danidexter11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Davlives,11,Davlives11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Dyz30,11,Dyz3011,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Erm22,11,Erm2211,1,419,1,325,0,0,0,0,0,0,27,1,1,1,1,1
Jamespgdaltoniii,11,Jamespgdaltoniii11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Jas148,11,Jas14811,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Jd236,11,Jd23611,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Jyousif11,11,Jyousif1111,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Lauralewis15,11,Lauralewis1511,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Levibrice,11,Levibrice11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Pkann6,11,Pkann611,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Rhumke,11,Rhumke11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Student test,11,Student test11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Swu160,11,Swu16011,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Sydelstan,11,Sydelstan11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
TandemRunners,11,TandemRunners11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Tanioneill,11,Tanioneill11,1,0,3,399.6666667,399.6666667,3,0,0,0,1,27,1,1,1,1,1
TheETeam,11,TheETeam11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Tmeister21,11,Tmeister2111,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Walter Moczygemba,11,Walter Moczygemba11,1,0,1,0,0,0,0,0,0,0,27,1,1,1,1,1
Cwm24,13,Cwm2413,1,40,2,205,205,2,0,0,0,1,8,1,1,1,1,1
Dbabichenko,13,Dbabichenko13,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,1
Dmitriy.babichenko,13,Dmitriy.babichenko13,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,1
EyesHalfClosed,13,EyesHalfClosed13,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,1
Jdbender66,13,Jdbender6613,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,1
Juliaaaaaaaaa,13,Juliaaaaaaaaa13,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,1
Maryamomair,13,Maryamomair13,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,1
Xiw34,13,Xiw3413,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,1
Aco26,14,Aco2614,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Adriana reyes03,14,Adriana reyes0314,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Adriannanicolle,14,Adriannanicolle14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Afashola240,14,Afashola24014,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Alonzolazaro,14,Alonzolazaro14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Annekingsley,14,Annekingsley14,1,705,34,893.5,291.3571429,14,0,2,0,6,22,1,1,1,1,1
Anon357,14,Anon35714,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Aquamarine335,14,Aquamarine33514,1,180,1,1970,1970,1,0,0,0,1,22,1,1,1,1,1
Asolares259,14,Asolares25914,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Aust-front57,14,Aust-front5714,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
Bathorner,14,Bathorner14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
BeautifulChaos18134,14,BeautifulChaos1813414,1,107,2,-4,-4,2,0,0,0,2,22,1,1,1,1,1
Bouchraboudiz,14,Bouchraboudiz14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
CivicSav,14,CivicSav14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Cjohnson7972,14,Cjohnson797214,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Clarygirl977,14,Clarygirl97714,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
Daniela.e510,14,Daniela.e51014,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Double b4,14,Double b414,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Emmanava7,14,Emmanava714,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Hansol Lee,14,Hansol Lee14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Hvmphoto,14,Hvmphoto14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
I love smoky,14,I love smoky14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Ikehasu,14,Ikehasu14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Jchow601dvc,14,Jchow601dvc14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
K2theiely,14,K2theiely14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Kdomin503,14,Kdomin50314,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Kgoe869,14,Kgoe86914,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
Kklayton,14,Kklayton14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
KlaytonK,14,KlaytonK14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Lhans84,14,Lhans8414,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Lovemesumpizza,14,Lovemesumpizza14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
Lphnhoman,14,Lphnhoman14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
MariaCrnkovich,14,MariaCrnkovich14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Meverett606,14,Meverett60614,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Mr ektid,14,Mr ektid14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Mr3albert,14,Mr3albert14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Mtakise,14,Mtakise14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Nathanielagot,14,Nathanielagot14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Nathanielwiki,14,Nathanielwiki14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Rbenkim,14,Rbenkim14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
Sabinnnnaaa,14,Sabinnnnaaa14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Sarasultani,14,Sarasultani14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Smoky Love Me,14,Smoky Love Me14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
SpaceJam96,14,SpaceJam9614,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
The Essence,14,The Essence14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
Thehiddenmystique,14,Thehiddenmystique14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Timothy Brentwood,14,Timothy Brentwood14,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Won86,14,Won8614,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
WS95,14,WS9514,1,0,1,0,0,0,0,0,0,0,22,1,1,1,-1,-1
Yvonna456,14,Yvonna45614,1,0,1,0,0,0,0,0,0,0,22,1,1,1,1,1
Aadilah,15,Aadilah15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Aibrandon3,15,Aibrandon315,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Annatsiaras,15,Annatsiaras15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
ArcErebus,15,ArcErebus15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Bigbubbadave,15,Bigbubbadave15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
BlandBranz,15,BlandBranz15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Brian NewMedia,15,Brian NewMedia15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
BRITTANYT327,15,BRITTANYT32715,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Carterfichter,15,Carterfichter15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
CML1996,15,CML199615,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Ealston52,15,Ealston5215,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
EricFrancis30,15,EricFrancis3015,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Jacobster42,15,Jacobster4215,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Jad293,15,Jad29315,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Jofo1230,15,Jofo123015,1,0,2,804.5,1505,1,1,0,0,1,25,1,1,1,1,1
Jpatouhas511,15,Jpatouhas51115,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Karissaquinn,15,Karissaquinn15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Kddcas318,15,Kddcas31815,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Lou456,15,Lou45615,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Maggiem95,15,Maggiem9515,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Michael.Siddall713,15,Michael.Siddall71315,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Mmena5,15,Mmena515,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Weirdeditor,15,Weirdeditor15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Winslow21,15,Winslow2115,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
Zwelsher,15,Zwelsher15,1,0,1,0,0,0,0,0,0,0,25,1,1,1,1,1
2MonthsLate,17,2MonthsLate17,1,2,13,3110.153846,18913,2,0,11,0,1,41,1,1,1,1,1
Ametyst21012,17,Ametyst2101217,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
BackyardSooner,17,BackyardSooner17,1,0,4,89,89,4,0,0,0,1,41,1,1,1,1,1
Bartelkj88,17,Bartelkj8817,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Bates Amanda,17,Bates Amanda17,1,0,5,722.8,722.8,5,0,0,0,1,41,1,1,1,1,-1
Bboone333,17,Bboone33317,1,0,8,207,229.8571429,7,0,1,0,1,41,1,1,1,-1,-1
Beantherebunthat,17,Beantherebunthat17,1,0,13,605.5384615,827,9,0,4,0,2,41,1,1,1,1,1
C alvarez94,17,C alvarez9417,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Callidus Lupas,17,Callidus Lupas17,1,1,14,1475.571429,6262,2,0,12,0,1,41,1,1,1,1,1
Cdillahunty,17,Cdillahunty17,1,20,2,977,977,2,0,0,0,2,41,1,1,1,1,1
Cjzomboy,17,Cjzomboy17,1,735,19,1571.052632,4124.6,5,1,9,2,3,41,1,1,1,1,1
CodyArnold5594,17,CodyArnold559417,1,0,7,410.5714286,410.5714286,7,0,0,0,1,41,1,1,1,1,1
Crownoffire,17,Crownoffire17,1,1,6,667,667,6,0,0,0,2,41,1,1,1,1,1
CWSstudent,17,CWSstudent17,1,0,1,0,0,0,0,0,0,0,41,1,1,1,-1,-1
Delmar-16,17,Delmar-1617,1,0,18,893.6111111,383,11,0,7,0,1,41,1,1,1,1,1
Duke of Dosh,17,Duke of Dosh17,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Dyl48,17,Dyl4817,1,0,23,195.3043478,195.3043478,23,0,0,0,4,41,1,1,1,-1,-1
Dylanmasri,17,Dylanmasri17,1,0,1,10629,10629,1,0,0,0,1,41,1,1,1,1,1
Emdoug,17,Emdoug17,1,0,9,16.66666667,16.66666667,9,0,0,0,1,41,1,1,1,1,1
Jennifergilbreth,17,Jennifergilbreth17,1,0,3,1744,1744,3,0,0,0,1,41,1,1,1,1,1
Justin.c.reynolds1,17,Justin.c.reynolds117,1,12,2,-13.5,-13.5,2,0,0,0,1,41,1,1,1,1,1
Kale4548,17,Kale454817,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Lizardlion,17,Lizardlion17,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Lupus-Lobo-Losa-Lykos,17,Lupus-Lobo-Losa-Lykos17,1,0,5,416.2,416.2,5,0,0,0,1,41,1,1,1,1,1
MailMan16,17,MailMan1617,1,0,7,187.1428571,187.1428571,7,0,0,0,1,41,1,1,1,1,1
Mayorsberg2k5,17,Mayorsberg2k517,1,0,16,732.8125,966.3333333,12,0,4,0,1,41,1,1,1,1,1
Nemeziz14,17,Nemeziz1417,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Nemoscis,17,Nemoscis17,1,742,137,-40.22627737,-103.7520661,121,12,0,3,69,41,1,1,1,1,1
Not a bot account,17,Not a bot account17,1,0,1,7988,7988,1,0,0,0,1,41,1,1,1,1,1
NuclearHistoryStudent,17,NuclearHistoryStudent17,1,0,13,94.76923077,94.76923077,13,0,0,0,3,41,1,1,1,-1,-1
ProfileB,17,ProfileB17,1,2,9,1134.444444,1134.444444,9,0,0,0,6,41,1,1,1,1,1
Ramirez15,17,Ramirez1517,1,0,1,0,0,0,0,0,0,0,41,1,1,1,-1,-1
RedYellowBlueOrange,17,RedYellowBlueOrange17,1,0,3,4610.333333,972,2,0,1,0,1,41,1,1,1,1,1
RichardsAgnew,17,RichardsAgnew17,1,0,2,493.5,493.5,2,0,0,0,1,41,1,1,1,1,1
SarahRay21,17,SarahRay2117,1,0,5,1849,1849,5,0,0,0,1,41,1,1,1,1,1
Scabler72,17,Scabler7217,1,0,1,0,0,0,0,0,0,0,41,1,1,1,-1,-1
SJK096,17,SJK09617,1,0,4,3673.25,13244,1,0,3,0,1,41,1,1,1,1,1
Tarrynkahre,17,Tarrynkahre17,1,0,5,4846.8,4846.8,5,0,0,0,1,41,1,1,1,-1,-1
The real B.A.,17,The real B.A.17,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Thehuntercc,17,Thehuntercc17,1,0,1,0,0,0,0,0,0,0,41,1,1,1,1,1
Ward1855,17,Ward185517,1,0,27,405.4814815,407.8076923,26,0,1,0,1,41,1,1,1,1,1
Dl.jung90,22,Dl.jung9022,1,0,1,0,0,0,0,0,0,0,14,1,1,1,1,1
Dsjarrett91,22,Dsjarrett9122,1,0,1,0,0,0,0,0,0,0,14,1,1,1,1,1
Fernanda Escalante,22,Fernanda Escalante22,1,0,1,0,0,0,0,0,0,0,14,1,1,1,1,1
Fernando.melero,22,Fernando.melero22,1,0,1,0,0,0,0,0,0,0,14,1,1,1,1,1
Jamelynwheeler,22,Jamelynwheeler22,1,0,1,0,0,0,0,0,0,0,14,1,1,1,1,1
Joscling,22,Joscling22,1,0,1,0,0,0,0,0,0,0,14,1,1,1,1,1
