control_wpid,courseID,key,death,dayindex,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,indiv_group2,group_recheck
Adalley,2,Adalley2,1,68,17,352.7647059,1118.333333,3,3,2,5,2,1,32,1,1,1,1
Alasocha,2,Alasocha2,1,51,42,226.7380952,309.7692308,13,5,16,3,3,1,32,1,1,1,1
Alex Jia,2,Alex Jia2,1,49,13,531.5384615,1305,3,1,7,2,1,1,32,1,1,1,1
Amyrkmcdonald,2,Amyrkmcdonald2,1,66,23,143.5652174,70.45454545,11,4,5,0,4,1,32,1,1,1,1
Andrewconsiders,2,Andrewconsiders2,1,45,32,520.625,631.1538462,13,2,11,4,1,1,32,1,1,1,1
Annataz,2,Annataz2,1,53,21,223.952381,404.1428571,7,5,4,3,1,1,32,1,1,1,1
Aylin Tavakoli,2,Aylin Tavakoli2,1,71,77,120.6493506,132.2592593,54,5,6,5,3,1,32,1,1,1,1
CREdwards,2,CREdwards2,1,69,37,167.972973,163,25,2,6,0,3,1,32,1,1,1,1
D.lupick,2,D.lupick2,1,64,64,69.6875,58.8974359,39,6,4,5,9,1,32,1,1,1,1
DJsametz,2,DJsametz2,1,69,21,388.4285714,1040.333333,3,1,15,0,2,1,32,1,1,1,1
EmilycarriganG,2,EmilycarriganG2,1,70,21,474.047619,752.4,5,4,6,3,2,1,32,1,1,1,1
Ernettita,2,Ernettita2,1,57,46,399.826087,430.4666667,15,5,15,3,1,1,32,1,1,1,1
Gamesketcher,2,Gamesketcher2,1,61,28,231.6785714,249.2222222,9,2,10,3,3,1,32,1,1,1,1
Hayesjess,2,Hayesjess2,1,69,82,174.695122,75.80392157,51,12,12,5,6,1,32,1,1,1,1
Holliemckeil,2,Holliemckeil2,1,70,16,465.3125,1422.2,5,2,2,2,2,1,32,1,1,1,1
Ignatiusbut,2,Ignatiusbut2,1,70,20,505.45,936,6,1,8,3,3,1,32,1,1,1,1
Injeniero,2,Injeniero2,1,226,41,252.902439,506.9411765,17,9,4,3,4,1,32,1,1,1,1
Jkivettk,2,Jkivettk2,1,63,36,384.4166667,384.6,10,8,11,5,1,1,32,1,1,1,1
Jlfbrown,2,Jlfbrown2,1,69,52,179.8653846,109.16,25,10,12,3,5,1,32,1,1,1,1
Kmcconnel,2,Kmcconnel2,1,69,34,24.11764706,-32.89473684,19,2,5,3,2,1,32,1,1,1,1
Laratboulos,2,Laratboulos2,1,68,55,241.7454545,290.3125,32,9,7,5,8,1,32,1,1,1,1
Lettucesmith,2,Lettucesmith2,1,66,34,274.3823529,359.375,8,2,12,7,2,1,32,1,1,1,1
Lucas.ozols.mongeau,2,Lucas.ozols.mongeau2,1,49,28,194,139.0769231,13,2,8,3,1,1,32,1,1,1,1
Meghan murray902,2,Meghan murray9022,1,69,27,190.0740741,322.4,10,2,9,4,2,1,32,1,1,1,1
Mtp109,2,Mtp1092,1,64,42,229.2857143,347.6470588,17,4,11,6,3,1,32,1,1,1,1
Ocean Luo,2,Ocean Luo2,1,52,19,420.7894737,186.1428571,7,0,6,4,1,1,32,1,1,1,1
Paulhillsdon,2,Paulhillsdon2,1,41,7,725.8571429,0,0,1,4,0,0,1,32,1,1,1,1
Sarahejm,2,Sarahejm2,1,50,19,170.8421053,295.1428571,7,0,6,4,1,1,32,1,1,1,1
Slarose,2,Slarose2,1,53,33,173.9393939,363.1666667,6,2,18,4,1,1,32,1,1,1,1
SuperFreake,2,SuperFreake2,1,95,11,104.3636364,0,0,0,6,3,0,1,32,1,1,1,1
Thetmunplanner,2,Thetmunplanner2,1,71,27,456.4814815,584.6153846,13,0,9,4,2,1,32,1,1,1,1
Wongvvn,2,Wongvvn2,1,51,49,274.7755102,262.952381,21,6,14,4,4,1,32,1,1,1,1
Amaziarz,3,Amaziarz3,1,104,28,185.2857143,152.8888889,9,3,9,4,1,1,20,1,1,1,-1
Bking22,3,Bking223,1,106,30,337.6666667,794.5,4,2,18,2,1,1,20,1,1,1,-1
Boulderboy123,3,Boulderboy1233,1,107,20,587.9,2155,1,2,9,6,1,1,20,1,1,1,-1
Caseyfarrissey,3,Caseyfarrissey3,1,106,33,363.7272727,384.5384615,13,4,5,6,2,1,20,1,1,1,-1
Cassie909,3,Cassie9093,1,90,27,196.3703704,441.5,2,5,7,4,1,1,20,1,1,1,1
Celine.silva1,3,Celine.silva13,1,14,3,71.33333333,0,0,0,2,0,0,1,20,1,1,1,1
Dciccoli,3,Dciccoli3,1,90,15,495.7333333,407.6,5,2,3,2,5,1,20,1,1,1,-1
Ermoore31,3,Ermoore313,1,12,11,105.0909091,0,0,0,8,3,0,1,20,1,1,1,1
Evanm3195,3,Evanm31953,1,103,27,1080.703704,872.3333333,6,7,6,3,1,1,20,1,1,1,-1
Eviarengo,3,Eviarengo3,1,106,49,242.4693878,353.2857143,7,10,17,4,2,1,20,1,1,1,-1
Jajacobs7694,3,Jajacobs76943,1,84,14,195.5714286,69.5,2,4,2,2,1,1,20,1,1,1,1
Jammer092,3,Jammer0923,1,372,73,126.8630137,145.5964912,57,2,9,2,5,1,20,1,1,1,-1
Jmmcgill,3,Jmmcgill3,1,97,40,186.275,273.1428571,14,5,15,3,1,1,20,1,1,1,-1
Lmeola,3,Lmeola3,1,20,13,100.2307692,0,0,0,9,3,0,1,20,1,1,1,1
Megansmith34,3,Megansmith343,1,105,16,156.6875,103,1,3,4,3,1,1,20,1,1,1,-1
Mgattoni,3,Mgattoni3,1,106,16,202.9375,166,4,2,3,4,1,1,20,1,1,1,-1
Mikeiwata,3,Mikeiwata3,1,90,28,1581.714286,612,2,2,9,13,1,1,20,1,1,1,-1
Sjaberman,3,Sjaberman3,1,90,15,111.1333333,-387,1,0,10,4,1,1,20,1,1,1,-1
Tbartlett16,3,Tbartlett163,1,89,35,277.8,545.6666667,6,2,18,6,1,1,20,1,1,1,-1
Yuhanqiu,3,Yuhanqiu3,1,92,65,159.0307692,181.2142857,42,7,3,4,1,1,20,1,1,1,-1
Caseyhartnu,4,Caseyhartnu4,1,58,20,342.2,2450,1,0,11,7,1,1,11,1,1,1,-1
ConnorLantz,4,ConnorLantz4,1,6,10,132.7,0,0,0,5,4,0,1,11,1,1,1,1
Jlzeldin,4,Jlzeldin4,1,47,18,194.1666667,864,2,0,9,6,1,1,11,1,1,1,1
Katiebraun,4,Katiebraun4,1,58,13,421.0769231,2077,2,0,6,4,2,1,11,1,1,1,1
Kbonefont,4,Kbonefont4,1,59,16,347.125,886.5,2,0,10,3,1,1,11,1,1,1,1
Kcp199,4,Kcp1994,1,58,13,330.2307692,2668,1,1,6,4,1,1,11,1,1,1,1
Shippleheuser,4,Shippleheuser4,1,61,19,231.3684211,682.5,4,0,10,4,2,1,11,1,1,1,-1
Vrutherford99,4,Vrutherford994,1,56,13,708.9230769,1681,5,1,4,2,2,1,11,1,1,1,1
WiKEW,4,WiKEW4,1,59,21,277.952381,723.4,5,2,9,3,1,1,11,1,1,1,1
Woodj2012,4,Woodj20124,1,780,31,248,168.6153846,13,3,10,3,5,1,11,1,1,1,1
Woolrid1,4,Woolrid14,1,58,10,359.7,655,5,0,2,2,2,1,11,1,1,1,1
Allanwlevy,6,Allanwlevy6,1,29,10,113.9,0,0,0,6,3,0,1,19,1,1,1,1
Amberlyjoslinwang,6,Amberlyjoslinwang6,1,29,7,74,84,4,0,2,0,1,1,19,1,1,1,1
Andre Salehi,6,Andre Salehi6,1,13,3,59,0,0,0,2,0,0,1,19,1,1,1,1
Brendaw8,6,Brendaw86,1,25,14,311.9285714,782.6666667,3,0,7,3,1,1,19,1,1,1,1
Darren.y.huang,6,Darren.y.huang6,1,29,10,325.3,431.6666667,3,0,3,3,1,1,19,1,1,1,1
Ekhar17,6,Ekhar176,1,29,19,872.0526316,-194.2727273,11,0,4,3,1,1,19,1,1,1,1
ElegantNiceFlamingo,6,ElegantNiceFlamingo6,1,28,24,152.2916667,164.3846154,13,0,6,4,1,1,19,1,1,1,1
Gaylamarlohahn,6,Gaylamarlohahn6,1,27,17,134.8235294,163.2857143,7,0,6,3,1,1,19,1,1,1,1
GhasMak,6,GhasMak6,1,29,6,41.66666667,0,0,1,3,0,0,1,19,1,1,1,1
Illiterato,6,Illiterato6,1,28,7,331,535.5,4,0,2,0,1,1,19,1,1,1,1
Ireneyoungaha,6,Ireneyoungaha6,1,29,17,124.9411765,111.625,8,0,5,3,1,1,19,1,1,1,1
Jesslin2411,6,Jesslin24116,1,29,17,159.8823529,224.8571429,7,0,6,3,1,1,19,1,1,1,1
Kienn313,6,Kienn3136,1,29,5,43,0,0,1,2,0,0,1,19,1,1,1,1
Kyrawade,6,Kyrawade6,1,27,6,603,1148.333333,3,0,2,0,1,1,19,1,1,1,1
M.hom,6,M.hom6,1,28,6,330.1666667,603.6666667,3,0,2,0,1,1,19,1,1,1,1
Nikduque,6,Nikduque6,1,25,4,234,763,1,0,2,0,1,1,19,1,1,1,1
Renee Sweeney,6,Renee Sweeney6,1,30,11,101.3636364,0,0,0,6,4,0,1,19,1,1,1,1
Shea.k,6,Shea.k6,1,29,21,589.7142857,2348,2,0,12,4,1,1,19,1,1,1,1
Steffikwok,6,Steffikwok6,1,368,19,186.1578947,127,13,2,3,0,2,1,19,1,1,1,1
Churong,8,Churong8,1,47,12,169.1666667,0,0,0,7,4,0,1,12,1,1,1,1
Imiyar,8,Imiyar8,1,47,12,132.25,0,0,0,6,5,0,1,12,1,1,1,1
Jimchu10,8,Jimchu108,1,43,3,62.66666667,0,0,0,2,0,0,1,12,1,1,1,1
Korccw,8,Korccw8,1,46,6,197.1666667,0,0,0,2,3,0,1,12,1,1,1,1
Ludawang,8,Ludawang8,1,43,3,64.66666667,0,0,0,2,0,0,1,12,1,1,1,1
Lyjacksonjy,8,Lyjacksonjy8,1,43,3,70.66666667,0,0,0,2,0,0,1,12,1,1,1,1
Panthersuper,8,Panthersuper8,1,42,3,74,0,0,0,2,0,0,1,12,1,1,1,1
Saleet001,8,Saleet0018,1,43,3,65,0,0,0,2,0,0,1,12,1,1,1,1
Szuyulee,8,Szuyulee8,1,44,8,194.25,0,0,0,3,4,0,1,12,1,1,1,1
TaeyoungYoon,8,TaeyoungYoon8,1,247,11,163.2727273,0,0,0,6,4,0,1,12,1,1,1,1
Yjzhouchem,8,Yjzhouchem8,1,47,4,275.75,0,0,0,2,0,0,1,12,1,1,1,1
Yoonho Kim,8,Yoonho Kim8,1,43,3,69.33333333,0,0,0,2,0,0,1,12,1,1,1,1
Afranco247,9,Afranco2479,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Aglorioso,9,Aglorioso9,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Brieanna Martin,9,Brieanna Martin9,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Chang.veronicas,9,Chang.veronicas9,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Changveronica,9,Changveronica9,1,763,12,541.0833333,1010.5,6,1,3,0,1,1,18,1,1,1,1
DianaLee123,9,DianaLee1239,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Dkzheng,9,Dkzheng9,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Dramirez92,9,Dramirez929,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Enguyen26,9,Enguyen269,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Ichamu,9,Ichamu9,1,95,3,129.3333333,0,0,0,2,0,0,1,18,1,1,1,1
Jjqt,9,Jjqt9,1,95,12,548.4166667,849.2857143,7,0,3,2,1,1,18,1,1,1,1
Mchao29,9,Mchao299,1,95,1,446,446,1,0,0,0,1,1,18,1,1,1,1
Mgarzo,9,Mgarzo9,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Nikithagirish,9,Nikithagirish9,1,95,2,64.5,0,0,0,2,0,0,1,18,1,1,1,1
Pdavidson12,9,Pdavidson129,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Seliciahou,9,Seliciahou9,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
Shayannhendricks,9,Shayannhendricks9,1,822,9,307.2222222,307.2222222,9,0,0,0,1,1,18,1,1,1,1
Yvonnedorantes,9,Yvonnedorantes9,1,0,1,0,0,0,0,0,0,0,1,18,1,1,1,1
267 group F,11,267 group F11,1,30,4,414.25,0,0,0,2,1,0,1,27,1,1,1,1
Aewells14,11,Aewells1411,1,79,27,346.4444444,69.85714286,7,4,8,4,3,1,27,1,1,1,1
Ahc12,11,Ahc1211,1,93,5,88,0,0,0,3,0,0,1,27,1,1,1,1
Akg16,11,Akg1611,1,79,132,115.7348485,102.34,100,8,12,8,3,1,27,1,1,1,1
AlexisCarter267,11,AlexisCarter26711,1,79,36,230.5277778,265.8888889,18,2,8,1,4,1,27,1,1,1,1
Artfuldodger08,11,Artfuldodger0811,1,75,49,634.4897959,418.2857143,21,3,5,15,3,1,27,1,1,1,1
BellaO 123,11,BellaO 12311,1,17,17,115.3529412,1,1,0,11,3,1,1,27,1,1,1,1
BellaO 2212,11,BellaO 221211,1,77,22,280.5454545,321.7142857,14,3,2,0,2,1,27,1,1,1,1
Daltonator94,11,Daltonator9411,1,7,3,54.33333333,0,0,0,2,0,0,1,27,1,1,1,1
Danidexter,11,Danidexter11,1,76,14,334.6428571,461.1428571,7,1,4,0,4,1,27,1,1,1,1
Davlives,11,Davlives11,1,79,18,197.6111111,220.4285714,7,2,4,0,3,1,27,1,1,1,1
Dyz30,11,Dyz3011,1,72,43,713.5116279,1790.142857,7,7,18,6,2,1,27,1,1,1,1
Erm22,11,Erm2211,1,498,8,47.75,0,0,0,1,1,0,1,27,1,1,1,1
Jamespgdaltoniii,11,Jamespgdaltoniii11,1,77,38,179.1578947,141.3125,16,7,3,0,1,1,27,1,1,1,1
Jas148,11,Jas14811,1,65,15,159.6666667,22,2,2,5,1,2,1,27,1,1,1,1
Jd236,11,Jd23611,1,78,40,451.9,677.1764706,17,2,13,3,3,1,27,1,1,1,1
Jyousif11,11,Jyousif1111,1,75,47,350.4680851,281.875,16,10,11,4,4,1,27,1,1,1,1
Lauralewis15,11,Lauralewis1511,1,78,35,248.5428571,347.1052632,19,0,9,3,2,1,27,1,1,1,1
Levibrice,11,Levibrice11,1,79,74,229.2297297,192.4181818,55,4,3,7,2,1,27,1,1,1,1
Pkann6,11,Pkann611,1,78,15,554.4666667,815.8888889,9,1,3,0,3,1,27,1,1,1,1
Rhumke,11,Rhumke11,1,79,36,368.1388889,305.6923077,13,6,10,2,3,1,27,1,1,1,1
Student test,11,Student test11,1,1,3,54.33333333,0,0,0,2,0,0,1,27,1,1,1,1
Swu160,11,Swu16011,1,79,28,296.4642857,660.8888889,9,6,5,1,3,1,27,1,1,1,1
Sydelstan,11,Sydelstan11,1,79,22,412.9545455,683.75,8,5,6,0,2,1,27,1,1,1,1
TandemRunners,11,TandemRunners11,1,45,9,323,457.1666667,6,0,2,0,1,1,27,1,1,1,1
Tanioneill,11,Tanioneill11,1,79,16,209.9375,540.5,4,5,3,0,3,1,27,1,1,1,1
TheETeam,11,TheETeam11,1,30,29,340.5862069,0,0,12,16,0,0,1,27,1,1,1,1
Tmeister21,11,Tmeister2111,1,79,43,166.5348837,161.0833333,24,9,5,0,2,1,27,1,1,1,1
Walter Moczygemba,11,Walter Moczygemba11,1,79,82,273.0609756,234.5961538,52,2,21,2,3,1,27,1,1,1,1
Cwm24,13,Cwm2413,1,138,11,279.9090909,592.75,4,0,7,0,1,1,8,1,1,1,1
Dbabichenko,13,Dbabichenko13,1,92,4,1415.25,1415.25,4,0,0,0,1,1,8,1,1,1,1
Dmitriy.babichenko,13,Dmitriy.babichenko13,1,7,1,1054,0,0,0,1,0,0,1,8,1,1,1,1
EyesHalfClosed,13,EyesHalfClosed13,1,85,14,330.8571429,537.625,8,0,6,0,1,1,8,1,1,1,1
Jdbender66,13,Jdbender6613,1,85,23,354.7826087,4369,1,0,22,0,1,1,8,1,1,1,1
Juliaaaaaaaaa,13,Juliaaaaaaaaa13,1,92,13,347.9230769,403.7272727,11,0,2,0,1,1,8,1,1,1,1
Maryamomair,13,Maryamomair13,1,84,12,754.5,2437,2,0,10,0,1,1,8,1,1,1,1
Xiw34,13,Xiw3413,1,83,47,265.7446809,368.25,16,0,31,0,1,1,8,1,1,1,1
Aco26,14,Aco2614,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Adriana reyes03,14,Adriana reyes0314,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Adriannanicolle,14,Adriannanicolle14,1,20,31,125.1290323,99.15384615,26,0,4,0,1,1,22,1,1,1,1
Afashola240,14,Afashola24014,1,29,33,287.6363636,96.59090909,22,0,9,1,2,1,22,1,1,1,1
Alonzolazaro,14,Alonzolazaro14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Annekingsley,14,Annekingsley14,1,744,22,145.4545455,-6.769230769,13,0,1,0,10,1,22,1,1,1,1
Anon357,14,Anon35714,1,32,6,495.6666667,879,2,0,3,0,2,1,22,1,1,1,1
Aquamarine335,14,Aquamarine33514,1,219,13,194.3846154,231.8,10,0,2,0,1,1,22,1,1,1,1
Asolares259,14,Asolares25914,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Aust-front57,14,Aust-front5714,1,31,6,266.1666667,463,3,0,2,0,1,1,22,1,1,1,-1
Bathorner,14,Bathorner14,1,32,8,240.625,486.5,2,0,3,0,1,1,22,1,1,1,-1
BeautifulChaos18134,14,BeautifulChaos1813414,1,146,26,396.2692308,2100,2,0,19,4,1,1,22,1,1,1,1
Bouchraboudiz,14,Bouchraboudiz14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
CivicSav,14,CivicSav14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Cjohnson7972,14,Cjohnson797214,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Clarygirl977,14,Clarygirl97714,1,29,21,265.8095238,331.9285714,14,0,3,0,2,1,22,1,1,1,-1
Daniela.e510,14,Daniela.e51014,1,32,24,262.2083333,493.6666667,9,0,10,3,1,1,22,1,1,1,1
Double b4,14,Double b414,1,30,15,540.2,525,7,0,7,0,2,1,22,1,1,1,1
Emmanava7,14,Emmanava714,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Hansol Lee,14,Hansol Lee14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Hvmphoto,14,Hvmphoto14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
I love smoky,14,I love smoky14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Ikehasu,14,Ikehasu14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Jchow601dvc,14,Jchow601dvc14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
K2theiely,14,K2theiely14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Kdomin503,14,Kdomin50314,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Kgoe869,14,Kgoe86914,1,31,7,81.28571429,40.5,2,0,3,0,2,1,22,1,1,1,-1
Kklayton,14,Kklayton14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
KlaytonK,14,KlaytonK14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Lhans84,14,Lhans8414,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Lovemesumpizza,14,Lovemesumpizza14,1,31,7,1298.571429,516,3,0,3,0,1,1,22,1,1,1,-1
Lphnhoman,14,Lphnhoman14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
MariaCrnkovich,14,MariaCrnkovich14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Meverett606,14,Meverett60614,1,30,12,833.9166667,1088.888889,9,0,2,0,1,1,22,1,1,1,1
Mr ektid,14,Mr ektid14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Mr3albert,14,Mr3albert14,1,32,7,224.8571429,446.6666667,3,0,3,0,1,1,22,1,1,1,1
Mtakise,14,Mtakise14,1,29,5,380,848.5,2,0,2,0,1,1,22,1,1,1,1
Nathanielagot,14,Nathanielagot14,1,22,3,69.66666667,0,0,0,2,0,0,1,22,1,1,1,1
Nathanielwiki,14,Nathanielwiki14,1,31,7,681.8571429,2277,1,0,5,0,1,1,22,1,1,1,1
Rbenkim,14,Rbenkim14,1,30,13,695.7692308,1407,3,0,8,0,1,1,22,1,1,1,-1
Sabinnnnaaa,14,Sabinnnnaaa14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Sarasultani,14,Sarasultani14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Smoky Love Me,14,Smoky Love Me14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
SpaceJam96,14,SpaceJam9614,1,29,15,40.46666667,36.16666667,12,0,1,0,1,1,22,1,1,1,-1
The Essence,14,The Essence14,1,32,9,240.7777778,345.25,4,0,2,2,1,1,22,1,1,1,-1
Thehiddenmystique,14,Thehiddenmystique14,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Timothy Brentwood,14,Timothy Brentwood14,1,30,21,222,230.5454545,11,0,5,4,1,1,22,1,1,1,1
Won86,14,Won8614,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
WS95,14,WS9514,1,37,10,506.1,694.4285714,7,0,2,0,2,1,22,1,1,1,-1
Yvonna456,14,Yvonna45614,1,0,1,0,0,0,0,0,0,0,1,22,1,1,1,1
Aadilah,15,Aadilah15,1,32,17,135.1176471,66.28571429,7,4,4,0,1,1,25,1,1,1,1
Aibrandon3,15,Aibrandon315,1,20,10,579.8,2100,1,1,6,0,1,1,25,1,1,1,1
Annatsiaras,15,Annatsiaras15,1,30,5,265.4,754,1,1,2,0,1,1,25,1,1,1,1
ArcErebus,15,ArcErebus15,1,32,7,410.4285714,1649,1,1,3,0,1,1,25,1,1,1,1
Bigbubbadave,15,Bigbubbadave15,1,32,23,234.8695652,685,2,3,13,1,1,1,25,1,1,1,1
BlandBranz,15,BlandBranz15,1,32,10,262.2,547.5,2,0,6,0,1,1,25,1,1,1,1
Brian NewMedia,15,Brian NewMedia15,1,32,13,252.5384615,231.25,4,1,6,0,1,1,25,1,1,1,1
BRITTANYT327,15,BRITTANYT32715,1,32,8,146.375,250.5,2,0,4,0,1,1,25,1,1,1,1
Carterfichter,15,Carterfichter15,1,31,8,299.625,416,2,1,3,0,1,1,25,1,1,1,1
CML1996,15,CML199615,1,28,5,283.8,591,1,1,2,0,1,1,25,1,1,1,1
Ealston52,15,Ealston5215,1,32,14,114.5714286,104.8333333,6,0,6,0,1,1,25,1,1,1,1
EricFrancis30,15,EricFrancis3015,1,28,17,397.5294118,1004.666667,3,5,8,0,1,1,25,1,1,1,1
Jacobster42,15,Jacobster4215,1,25,13,266.8461538,571.3333333,3,2,6,0,1,1,25,1,1,1,1
Jad293,15,Jad29315,1,31,12,326.25,353.5,4,1,4,0,1,1,25,1,1,1,1
Jofo1230,15,Jofo123015,1,35,11,599.9090909,1377,1,2,4,0,1,1,25,1,1,1,1
Jpatouhas511,15,Jpatouhas51115,1,32,12,183.5833333,212.6666667,3,1,6,0,1,1,25,1,1,1,1
Karissaquinn,15,Karissaquinn15,1,13,5,93.2,0,0,0,3,0,0,1,25,1,1,1,1
Kddcas318,15,Kddcas31815,1,32,7,256.4285714,535.5,2,2,2,0,1,1,25,1,1,1,1
Lou456,15,Lou45615,1,32,16,248.125,587,2,1,11,0,1,1,25,1,1,1,1
Maggiem95,15,Maggiem9515,1,31,16,142.8125,67.1,10,1,3,0,1,1,25,1,1,1,1
Michael.Siddall713,15,Michael.Siddall71315,1,23,5,165.2,494,1,0,2,0,1,1,25,1,1,1,1
Mmena5,15,Mmena515,1,23,9,203.7777778,291,1,0,4,2,1,1,25,1,1,1,1
Weirdeditor,15,Weirdeditor15,1,31,10,221.3,353.75,4,1,3,0,1,1,25,1,1,1,1
Winslow21,15,Winslow2115,1,30,23,768.3478261,1219.333333,3,2,7,7,1,1,25,1,1,1,1
Zwelsher,15,Zwelsher15,1,25,8,614.125,338,1,1,4,0,1,1,25,1,1,1,1
2MonthsLate,17,2MonthsLate17,1,53,15,1779.266667,0,0,1,12,0,0,1,41,1,1,1,1
Ametyst21012,17,Ametyst2101217,1,51,6,902.3333333,1746.333333,3,0,2,0,1,1,41,1,1,1,1
BackyardSooner,17,BackyardSooner17,1,51,28,603.0714286,101.7647059,17,0,10,0,1,1,41,1,1,1,1
Bartelkj88,17,Bartelkj8817,1,9,3,57.33333333,0,0,0,2,0,0,1,41,1,1,1,1
Bates Amanda,17,Bates Amanda17,1,51,12,557.9166667,810.375,8,0,3,0,2,1,41,1,1,1,-1
Bboone333,17,Bboone33317,1,51,14,1072.071429,2319.5,6,0,4,3,1,1,41,1,1,1,-1
Beantherebunthat,17,Beantherebunthat17,1,51,29,457.0689655,0,0,0,28,0,0,1,41,1,1,1,1
C alvarez94,17,C alvarez9417,1,51,15,795.2666667,2892.666667,3,0,8,3,1,1,41,1,1,1,1
Callidus Lupas,17,Callidus Lupas17,1,52,5,925.6,0,0,0,4,0,0,1,41,1,1,1,1
Cdillahunty,17,Cdillahunty17,1,71,4,46,0,0,0,3,0,0,1,41,1,1,1,1
Cjzomboy,17,Cjzomboy17,1,786,3,56.66666667,0,0,0,2,0,0,1,41,1,1,1,1
CodyArnold5594,17,CodyArnold559417,1,51,6,2877,3934,2,0,3,0,1,1,41,1,1,1,1
Crownoffire,17,Crownoffire17,1,52,107,473.7102804,507.1122449,98,0,5,3,1,1,41,1,1,1,1
CWSstudent,17,CWSstudent17,1,51,10,2402.1,2561.5,2,1,5,0,1,1,41,1,1,1,-1
Delmar-16,17,Delmar-1617,1,51,21,958.952381,1965.4,5,0,15,0,1,1,41,1,1,1,1
Duke of Dosh,17,Duke of Dosh17,1,2,3,58,0,0,0,2,0,0,1,41,1,1,1,1
Dyl48,17,Dyl4817,1,51,13,150.7692308,233.7142857,7,1,2,0,2,1,41,1,1,1,-1
Dylanmasri,17,Dylanmasri17,1,51,3,57.33333333,0,0,0,2,0,0,1,41,1,1,1,1
Emdoug,17,Emdoug17,1,51,12,781,0,0,0,8,3,0,1,41,1,1,1,1
Jennifergilbreth,17,Jennifergilbreth17,1,51,4,1582.75,6153,1,0,2,0,1,1,41,1,1,1,1
Justin.c.reynolds1,17,Justin.c.reynolds117,1,63,72,352,977.9230769,13,0,58,0,1,1,41,1,1,1,1
Kale4548,17,Kale454817,1,51,22,454.4545455,517.2631579,19,0,2,0,5,1,41,1,1,1,1
Lizardlion,17,Lizardlion17,1,1,7,131.4285714,0,0,0,3,3,0,1,41,1,1,1,1
Lupus-Lobo-Losa-Lykos,17,Lupus-Lobo-Losa-Lykos17,1,51,45,416.2888889,613.7142857,14,1,28,0,1,1,41,1,1,1,1
MailMan16,17,MailMan1617,1,51,46,221.5,254.7352941,34,0,8,3,1,1,41,1,1,1,1
Mayorsberg2k5,17,Mayorsberg2k517,1,51,3,58.33333333,0,0,0,2,0,0,1,41,1,1,1,1
Nemeziz14,17,Nemeziz1417,1,49,15,743.0666667,914.5833333,12,0,2,0,4,1,41,1,1,1,1
Nemoscis,17,Nemoscis17,1,793,3,56.66666667,0,0,0,2,0,0,1,41,1,1,1,1
Not a bot account,17,Not a bot account17,1,51,28,159.1785714,0,0,0,21,6,0,1,41,1,1,1,1
NuclearHistoryStudent,17,NuclearHistoryStudent17,1,51,104,429.1442308,441.3333333,24,3,56,20,5,1,41,1,1,1,-1
ProfileB,17,ProfileB17,1,53,3,56.66666667,0,0,0,2,0,0,1,41,1,1,1,1
