control_wpid,courseID,uniqueID,return,return2,death,dayindex,score_diff,reach_out_stu,reach_out_wiki,reach_in_stu,reach_in_wiki,student_Outdegree,wiki_Outdegree,student_Indegree,wiki_Indegree,student_weighted_outdegree,wiki_weighted_outdegree,student_weighted_indegree,wiki_weighted_indegree,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,group_recheck
!WKatie,417,!WKatie417,0,0,1,10,1.505,0,0,0,1,0,0,0,1,0,0,0,1,16,200.5625,163.5,6,0,10,0,4,1,17,1,1,1
.i.s.b.e.i.g.e.,337,.i.s.b.e.i.g.e.337,0,0,1,91,0,0,0,0,1,0,0,0,1,0,0,0,1,54,493.2407407,1728.714286,7,30,7,8,1,1,21,1,1,1
007NYC,665,007NYC665,0,0,1,56,0.263,0,0,0,1,0,0,0,1,0,0,0,1,4,37,-2,1,0,2,0,1,1,13,1,1,1
01mustang01,142,01mustang01142,0,0,1,43,0,0,0,0,4,0,0,0,2,0,0,0,4,42,151.547619,63.77272727,22,1,11,8,2,1,24,1,1,1
0272thinkap,682,0272thinkap682,0,0,1,99,2.752,1,0,0,1,1,0,0,1,1,0,0,1,25,185.72,0.5,4,5,10,4,1,1,67,1,1,1
09iri,389,09iri389,0,0,1,6,0,0,0,0,2,0,0,0,2,0,0,0,2,3,71.33333333,0,0,0,3,0,0,0,45,1,-1,-1
0grm1,66,0grm166,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,63.33333333,0,0,0,2,0,0,0,64,1,-1,-1
0lauralittle0,568,0lauralittle0568,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,1,-1,-1
0riK,19,0riK19,0,0,1,92,0,0,0,0,1,0,0,0,1,0,0,0,1,81,378.9012346,0,0,2,71,4,0,0,26,1,-1,-1
1 Conor Mcgregor,700,1 Conor Mcgregor700,0,0,1,36,1.201,0,0,0,2,0,0,0,2,0,0,0,2,17,219.6470588,363.2222222,9,2,2,0,1,0,13,1,-1,-1
100% wood,656,100% wood656,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,20,283.7,0,0,2,18,0,0,0,24,1,-1,-1
10Lndsy,55,10Lndsy55,0,0,1,17,0.655,2,0,0,2,1,0,0,2,2,0,0,2,25,189.08,132.9090909,11,5,3,2,1,1,125,1,1,1
10outta10,233,10outta10233,0,0,1,100,0,1,0,0,2,0,0,0,2,0,0,0,2,51,1550.588235,383.4761905,21,3,24,1,4,1,24,1,1,1
10rmunoz11,661,10rmunoz11661,0,0,1,43,0,0,0,0,1,0,0,0,1,0,0,0,1,6,1,1,6,0,0,0,1,1,26,1,1,1
1114tennis,571,1114tennis571,0,0,1,113,0,0,0,0,1,0,0,0,1,0,0,0,1,7,66.71428571,64.25,4,0,2,0,1,1,92,1,1,1
119eainos,62,119eainos62,0,0,1,25,0,0,0,0,1,0,0,0,1,0,0,0,1,46,48.58695652,0,0,0,44,0,0,1,28,1,1,1
11jcsg,94,11jcsg94,0,0,1,49,0,0,0,0,1,0,0,0,1,0,0,0,1,3,60.66666667,0,0,0,2,0,0,0,56,1,-1,-1
11kdk2,66,11kdk266,0,0,1,49,0,0,0,0,1,0,0,0,1,0,0,0,1,1,127,0,0,0,1,0,0,0,64,1,-1,-1
11kimbobese,55,11kimbobese55,0,0,1,14,0,0,0,0,1,0,0,0,1,0,0,0,1,12,1785.75,0,0,4,5,0,0,1,125,1,1,1
11mh44,94,11mh4494,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,1,3,60.66666667,0,0,0,2,0,0,0,56,1,-1,-1
11mtp4,94,11mtp494,0,0,1,50,0,0,0,0,1,0,0,0,1,0,0,0,1,7,126,0,0,0,4,2,0,0,56,1,-1,-1
11rmm13,94,11rmm1394,0,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,1,3,61,0,0,0,2,0,0,0,56,1,-1,-1
11sad13,66,11sad1366,0,0,1,27,0,0,0,0,1,0,0,0,1,0,0,0,1,10,114.9,0,0,0,7,3,0,0,64,1,-1,-1
11trevnb,94,11trevnb94,0,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,1,3,61.33333333,0,0,0,2,0,0,0,56,1,-1,-1
123kari,509,123kari509,0,0,1,75,0,0,0,0,1,0,0,0,1,0,0,0,1,19,276.0526316,429,1,0,16,0,1,0,18,1,-1,-1
123rek123,733,123rek123733,0,0,1,12,0.017,0,0,0,2,0,0,0,2,0,0,0,2,32,121.5,46.85714286,7,4,15,4,1,0,18,1,-1,-1
12ahss,94,12ahss94,0,0,1,47,0,0,0,0,2,0,0,0,2,0,0,0,2,8,120.5,0,0,0,4,3,0,0,56,1,-1,-1
12arober,492,12arober492,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,761,843,1,1,0,0,1,0,24,1,-1,-1
12changk2,243,12changk2243,0,0,1,86,0,3,0,0,2,1,0,0,2,3,0,0,2,60,231.2833333,139.4166667,24,2,21,9,4,0,31,1,-1,1
12jgg,94,12jgg94,0,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,1,3,60.33333333,0,0,0,2,0,0,0,56,1,-1,-1
12jhcw,94,12jhcw94,0,0,1,43,0,0,0,0,1,0,0,0,1,0,0,0,1,10,116.2,0,0,0,6,3,0,0,56,1,-1,-1
12jlyl,66,12jlyl66,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,1,3,63.66666667,0,0,0,2,0,0,0,64,1,-1,-1
12set1,94,12set194,0,0,1,45,0,0,0,0,1,0,0,0,1,0,0,0,1,14,97.07142857,0,0,0,10,3,0,0,56,1,-1,-1
12tph,66,12tph66,1,1,1,49,0,0,0,0,2,0,0,0,1,0,0,0,2,6,62,0,0,0,4,0,0,0,64,1,-1,-1
12tph,94,12tph94,1,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,2,6,62,0,0,0,4,0,0,0,56,1,-1,-1
12vvilla,164,12vvilla164,0,0,1,7,0.067,0,0,0,0,0,0,0,0,0,0,0,0,10,103.9,109,2,0,5,3,1,0,47,1,-1,-1
12watsone,84,12watsone84,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,539.6666667,143,4,0,1,0,1,1,25,1,1,1
1337Dennis,764,1337Dennis764,0,0,1,5,0,2,0,0,1,1,0,0,1,1,0,0,1,4,381.5,0,0,0,1,3,0,1,49,1,1,1
133pharm23,55,133pharm2355,0,0,1,11,0.543,0,0,0,1,0,0,0,1,0,0,0,1,20,299.1,376.3,10,2,6,0,1,1,125,1,1,1
13ceks,66,13ceks66,0,0,1,49,0,0,0,0,1,0,0,0,1,0,0,0,1,1,127,0,0,0,1,0,0,0,64,1,-1,-1
13hl60,66,13hl6066,0,0,1,49,0,0,0,0,1,0,0,0,1,0,0,0,1,8,120.5,0,0,0,4,3,0,0,64,1,-1,-1
13jlc9,66,13jlc966,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3,63.66666667,0,0,0,2,0,0,0,64,1,-1,-1
13MK12,66,13MK1266,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,63.66666667,0,0,0,2,0,0,0,64,1,-1,-1
13ml120,66,13ml12066,0,0,1,46,0,0,0,0,1,0,0,0,1,0,0,0,1,3,64,0,0,0,2,0,0,0,64,1,-1,-1
13S.Chea,66,13S.Chea66,0,0,1,40,0,0,0,0,1,0,0,0,1,0,0,0,1,8,119.125,0,0,0,4,3,0,0,64,1,-1,-1
13samw,592,13samw592,0,0,1,32,0,0,0,0,1,0,0,0,1,0,0,0,1,15,323.7333333,193.0769231,13,0,2,0,1,0,40,1,-1,-1
1415jacobsx,210,1415jacobsx210,0,0,1,104,0,1,0,2,5,1,0,2,3,1,0,2,5,212,254.0283019,272.9736842,76,13,113,7,1,1,61,1,1,1
143annis,424,143annis424,0,0,1,88,0.076,1,0,2,3,1,0,2,3,1,0,2,3,29,106.8965517,131.9090909,11,0,13,4,1,0,22,1,-1,-1
155190Martin,183,155190Martin183,0,0,1,80,0,2,0,0,1,0,0,0,1,0,0,0,1,27,569.4444444,9603,1,3,17,3,1,1,40,1,1,1
15ldusek,663,15ldusek663,0,0,1,114,-0.019,0,0,0,1,0,0,0,1,0,0,0,1,10,236.9,310.4285714,7,0,2,0,1,1,13,1,1,1
18mikelavallee86,213,18mikelavallee86213,0,0,1,64,-0.055,0,0,0,1,0,0,0,1,0,0,0,1,8,42.625,36.2,5,0,2,0,1,1,30,1,1,-1
1971PlymouthBarracuda,536,1971PlymouthBarracuda536,0,0,1,48,0.882,0,0,0,2,0,0,0,2,0,0,0,2,13,206.4615385,-151,1,0,8,3,1,1,38,1,1,1
1980na,325,1980na325,0,0,1,204,0,1,1,0,6,1,1,0,4,1,1,0,6,63,-93.6031746,-261.34,50,2,9,2,2,0,20,1,-1,1
1992ml,325,1992ml325,0,0,1,96,0,0,0,0,1,0,0,0,1,0,0,0,1,69,94.5942029,92.8,55,13,0,0,9,0,20,1,-1,1
1993MJ,325,1993MJ325,0,0,1,117,0,0,0,2,0,0,0,2,0,0,0,2,0,58,304.5344828,1244.5,6,7,43,1,4,0,20,1,-1,1
1994sunsfan,385,1994sunsfan385,0,0,1,57,1.135,0,0,0,1,0,0,0,1,0,0,0,1,31,591.2903226,615.35,20,3,4,0,1,1,39,1,1,1
1996hc,188,1996hc188,0,0,1,24,3.09,0,0,0,0,0,0,0,0,0,0,0,0,1,1500,1500,1,0,0,0,1,1,18,1,1,1
19belknap,762,19belknap762,0,0,1,12,0,0,0,0,1,0,0,0,1,0,0,0,1,3,72,0,0,0,2,0,0,1,11,1,1,1
1Canelak,529,1Canelak529,0,0,1,46,0,0,0,0,1,0,0,0,1,0,0,0,1,10,224.6,0,0,2,4,3,0,0,121,1,-1,-1
1myalqueensu,94,1myalqueensu94,0,0,1,47,0,0,0,0,1,0,0,0,1,0,0,0,1,6,133,0,0,0,3,2,0,0,56,1,-1,-1
2-Door,498,2-Door498,0,0,1,72,0,1,0,5,1,1,0,3,1,1,0,5,1,23,333.0869565,1548,1,2,18,1,1,0,23,1,-1,-1
2009mgrant,529,2009mgrant529,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,1,3,66.33333333,0,0,0,2,0,0,0,121,1,-1,-1
2015evolution7,467,2015evolution7467,0,0,1,106,0,0,0,0,2,0,0,0,2,0,0,0,2,42,129.9047619,-21.22222222,18,11,8,0,7,1,52,1,1,1
2016Teresa,358,2016Teresa358,0,0,1,24,0,0,0,7,2,0,0,3,2,0,0,6,2,6,153.8333333,0,0,0,2,3,0,0,21,1,-1,-1
225em,531,225em531,0,0,1,106,0.405,0,0,0,1,0,0,0,1,0,0,0,1,15,405.6666667,1248.75,4,0,9,0,3,1,18,1,1,-1
2280zanont,210,2280zanont210,0,0,1,107,0,1,0,0,2,1,0,0,1,1,0,0,2,18,321.8333333,84,1,3,13,1,1,1,61,1,1,1
2456ambrosa,210,2456ambrosa210,0,0,1,103,0,1,0,0,3,1,0,0,2,1,0,0,3,52,179.6346154,-17.90909091,33,10,6,1,2,1,61,1,1,1
24af,94,24af94,0,0,1,41,0,0,0,0,1,0,0,0,1,0,0,0,1,10,113.8,0,0,0,6,3,0,0,56,1,-1,-1
256Alex,549,256Alex549,0,0,1,29,2.433,0,0,0,1,0,0,0,1,0,0,0,1,7,140.7142857,86,1,0,2,3,1,1,14,1,1,1
267 group F,11,267 group F11,0,0,1,30,0,0,0,0,2,0,0,0,1,0,0,0,2,4,414.25,0,0,0,2,1,0,1,27,1,1,1
28doodles,202,28doodles202,0,0,1,28,0.181,0,0,0,1,0,0,0,1,0,0,0,1,21,545.5238095,632.8235294,17,0,3,0,1,0,14,1,-1,-1
2974hurtadm,682,2974hurtadm682,0,0,1,99,2.465,1,0,0,1,1,0,0,1,1,0,0,1,24,340.0833333,81.28571429,7,5,8,4,1,1,67,1,1,1
2MonthsLate,17,2MonthsLate17,0,0,1,53,0,0,0,0,1,0,0,0,1,0,0,0,1,15,1779.266667,0,0,1,12,0,0,1,41,1,1,1
2ndFoundation,349,2ndFoundation349,0,0,1,11,0,2,1,3,4,2,1,3,4,2,1,3,4,25,92.56,0,0,0,16,7,0,0,8,1,-1,-1
3 icecreamcones,55,3 icecreamcones55,0,0,1,21,0.997,0,0,0,2,0,0,0,2,0,0,0,2,16,755.125,3114,3,4,5,0,1,1,125,1,1,1
3143628a,115,3143628a115,0,0,1,83,0,0,4,0,8,0,3,0,3,0,4,0,8,70,107.5285714,75.33870968,62,1,3,4,28,0,15,1,-1,1
333JeffGo333,582,333JeffGo333582,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2378,0,0,0,2,0,0,1,40,1,1,1
394Caitlincomm,705,394Caitlincomm705,0,0,1,90,0,0,0,0,2,0,0,0,2,0,0,0,2,15,116.8666667,163.6666667,9,0,1,4,2,0,25,1,-1,-1
3shalim26,55,3shalim2655,0,0,1,15,0.234,0,0,1,3,0,0,0,3,0,0,0,3,44,223.4772727,297.7647059,17,7,14,2,1,1,125,1,1,1
4001alex,583,4001alex583,0,0,1,73,0,0,0,0,1,0,0,0,1,0,0,0,1,17,227.7058824,0,0,0,14,1,0,1,38,1,1,1
425eastside,582,425eastside582,0,0,1,16,0.041,0,0,0,0,0,0,0,0,0,0,0,0,4,378.75,284.5,2,0,2,0,1,1,40,1,1,1
5448martinm,210,5448martinm210,0,0,1,99,0,1,0,0,3,1,0,0,2,1,0,0,3,8,403.75,0,0,2,5,1,0,1,61,1,1,1
59healy,762,59healy762,0,0,1,26,0.576,0,0,0,1,0,0,0,1,0,0,0,1,7,1055.285714,669,3,0,3,0,1,1,11,1,1,1
5WDXRMMF4,605,5WDXRMMF4605,0,0,1,63,0,0,0,0,2,0,0,0,2,0,0,0,2,53,253.2075472,404.95,20,19,4,3,3,1,41,1,1,1
6487heffroa,210,6487heffroa210,0,0,1,104,0,1,0,0,4,1,0,0,2,1,0,0,4,53,1553.09434,2045.541667,24,13,8,7,2,1,61,1,1,1
6oooinotna,55,6oooinotna55,0,0,1,14,0.264,0,0,0,4,0,0,0,4,0,0,0,4,25,855.64,229.75,4,4,13,0,1,1,125,1,1,1
7078kassels,682,7078kassels682,0,0,1,99,2.111,0,0,0,2,0,0,0,2,0,0,0,2,55,159.7090909,16.38235294,34,9,8,3,1,1,67,1,1,1
72tigers,88,72tigers88,0,0,1,32,0,1,0,2,1,1,0,3,1,1,0,3,1,36,371.4166667,1353,4,1,7,24,3,1,63,1,1,-1
7753spoom,210,7753spoom210,0,0,1,107,0,1,0,1,4,1,0,1,3,1,0,1,4,257,399.2607004,238.1966292,178,26,50,1,1,1,61,1,1,1
7jmv,55,7jmv55,0,0,1,17,1.116,0,0,0,4,0,0,0,4,0,0,0,4,30,1066.466667,1019.416667,12,5,9,0,2,1,125,1,1,1
860CNL,733,860CNL733,0,0,1,11,-0.03,0,0,0,2,0,0,0,2,0,0,0,2,27,93.51851852,101.5,2,3,21,0,1,0,18,1,-1,-1
901matt,196,901matt196,0,0,1,53,0.09,0,0,0,0,0,0,0,0,0,0,0,0,4,48.75,-5,1,0,2,0,1,1,25,1,1,-1
9260konetzf,682,9260konetzf682,0,0,1,100,3.669,0,0,0,2,0,0,0,1,0,0,0,2,25,505.92,240.625,8,6,10,0,1,1,67,1,1,1
9635wilmota,210,9635wilmota210,0,0,1,107,0,1,0,2,2,1,0,2,1,1,0,2,2,25,210.36,26,1,14,8,1,1,1,61,1,1,1
97DolphynEldridge15,149,97DolphynEldridge15149,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,41,590.6585366,0,0,0,22,18,0,0,26,1,-1,-1
9bryan,727,9bryan727,0,0,1,154,0,0,0,0,1,0,0,0,1,0,0,0,1,33,81.54545455,218.3333333,3,0,26,0,2,0,22,1,-1,1
9pharmch,55,9pharmch55,0,0,1,11,0,0,0,1,2,0,0,1,2,0,0,1,2,15,971.6666667,0,0,4,5,0,0,1,125,1,1,1
A ceja1994,517,A ceja1994517,0,0,1,110,0,1,0,2,4,1,0,1,1,1,0,2,4,42,652.0238095,2856,1,2,3,35,1,1,30,1,1,-1
A george20,318,A george20318,0,0,1,71,0,0,0,0,1,0,0,0,1,0,0,0,1,81,105.1358025,0,0,0,76,3,0,0,95,1,-1,-1
A m723,769,A m723769,0,0,1,70,0.258,1,0,0,2,1,0,0,2,1,0,0,2,14,422.7142857,155.4285714,7,3,2,1,1,0,30,1,-1,1
A man duh123,568,A man duh123568,0,0,1,78,0,0,0,3,0,0,0,2,0,0,0,3,0,29,553.1724138,646.5416667,24,0,3,0,2,0,18,1,-1,1
A meadows,649,A meadows649,0,0,1,36,0,0,0,0,1,0,0,0,1,0,0,0,1,4,62.5,0,0,0,3,0,0,1,80,1,1,1
A oramirez15,85,A oramirez1585,0,0,1,108,0,0,0,0,1,0,0,0,1,0,0,0,1,3,61.66666667,0,0,0,2,0,0,1,41,1,1,1
A Wiegers,751,A Wiegers751,0,0,1,23,0.862,4,0,2,0,2,0,2,0,4,0,2,0,12,145.5,840,1,1,4,4,1,1,25,1,1,1
A.adams821,752,A.adams821752,0,0,1,77,0,0,0,0,2,0,0,0,2,0,0,0,2,12,756.9166667,1711,2,2,7,0,2,0,32,1,-1,-1
A.correa,352,A.correa352,0,0,1,48,0,0,0,2,2,0,0,2,4,0,0,2,4,10,450.7,173,3,0,6,0,1,1,39,1,1,1
A.Farrar0696,686,A.Farrar0696686,0,0,1,98,0,2,0,0,3,2,0,0,3,2,0,0,3,28,283.2142857,151.375,8,0,14,2,1,1,25,1,1,-1
A.fejzic,299,A.fejzic299,0,0,1,84,0,0,0,19,2,0,0,1,2,0,0,1,2,10,-212.5,0,0,0,8,0,0,1,45,1,1,1
A.hall.engineer,189,A.hall.engineer189,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,30,407.0666667,5929,1,0,29,0,1,0,24,1,-1,-1
A.halldorson,587,A.halldorson587,0,0,1,100,0.188,0,0,0,1,0,0,0,1,0,0,0,1,7,516.1428571,886.3333333,3,1,2,0,1,1,49,1,1,1
A.holmes011,20,A.holmes01120,0,0,1,99,0,0,0,0,0,0,0,0,2,0,0,0,2,21,1267.333333,0,0,6,12,2,0,0,13,1,-1,-1
A.McAuliffe,117,A.McAuliffe117,0,0,1,261,-0.043,0,0,0,1,0,0,0,1,0,0,0,1,14,305.9285714,426,1,5,6,0,1,1,25,1,1,1
A.mohmed,566,A.mohmed566,0,0,1,92,0.263,0,0,0,0,0,0,0,0,0,0,0,0,1,154,154,1,0,0,0,1,1,20,1,1,1
A.parker86,643,A.parker86643,0,0,1,13,0,0,0,0,1,0,0,0,1,0,0,0,1,3,76.33333333,0,0,0,2,0,0,0,52,1,-1,-1
A.toure6,767,A.toure6767,0,0,1,103,0,0,0,0,4,0,0,0,3,0,0,0,4,18,374.9444444,392.8823529,17,0,1,0,6,0,11,1,-1,1
A10630534,512,A10630534512,0,0,1,28,-0.023,0,0,0,1,0,0,0,1,0,0,0,1,23,161.826087,572.25,4,10,2,0,1,1,120,1,1,1
A288889000,600,A288889000600,0,0,1,63,3.284,3,0,13,1,0,0,0,1,0,0,0,1,47,894.9361702,4326.666667,3,9,31,3,1,1,37,1,1,1
A9821,293,A9821293,0,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,51,200.7058824,0,0,0,50,0,0,1,46,1,1,1
Aa1043,280,Aa1043280,0,0,1,105,0.023,0,0,0,2,0,0,0,2,0,0,0,2,34,382.2647059,436.5517241,29,1,2,0,1,0,67,1,-1,-1
Aa2432a,632,Aa2432a632,0,0,0,1093,-0.626,0,3,0,8,0,3,0,5,0,3,0,8,102,175.8627451,186.8507463,67,5,20,7,22,1,15,1,1,1
Aa3z4,467,Aa3z4467,0,0,1,108,0,1,0,3,2,1,0,2,2,1,0,3,2,43,263.5348837,176.3809524,21,15,3,2,5,1,52,1,1,1
Aaalice436,236,Aaalice436236,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,909.3333333,0,0,0,5,0,0,1,105,1,1,1
Aabarber,489,Aabarber489,0,0,1,103,-0.011,0,0,0,4,0,0,0,5,0,0,0,6,7,-344,-1427,2,1,2,0,1,0,6,1,-1,-1
Aabraswell,118,Aabraswell118,0,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,99,407.1818182,0,0,0,57,41,0,1,36,1,1,1
Aad58,431,Aad58431,0,0,1,120,0,6,0,2,1,3,0,2,1,5,0,2,1,85,198.2941176,199.3125,64,4,4,8,3,0,15,1,-1,-1
Aadhikari20,649,Aadhikari20649,0,0,1,57,0.303,0,0,0,1,0,0,0,1,0,0,0,1,4,49.25,-17,1,0,2,0,1,1,80,1,1,1
Aadilah,15,Aadilah15,0,0,1,32,1.881,0,0,0,1,0,0,0,1,0,0,0,1,17,135.1176471,66.28571429,7,4,4,0,1,1,25,1,1,1
Aafoster2015,639,Aafoster2015639,0,0,1,35,0,1,0,1,1,1,0,1,1,1,0,1,1,8,76.125,0,0,0,4,1,0,1,28,1,1,1
Aaglazzard,705,Aaglazzard705,0,0,1,92,0.911,0,0,0,3,0,0,0,2,0,0,0,3,41,415.2682927,937.25,8,0,28,3,2,0,25,1,-1,-1
Aagrawa6,274,Aagrawa6274,0,0,1,56,0,0,0,0,2,0,0,0,2,0,0,0,2,11,542.2727273,0,0,0,10,0,0,1,119,1,1,1
Aagrawa7,341,Aagrawa7341,0,0,1,24,0,0,0,1,1,0,0,1,1,0,0,1,1,14,1034.714286,0,0,0,14,0,0,1,93,1,1,1
Aaie21,732,Aaie21732,0,0,1,99,0,0,0,0,1,0,0,0,1,0,0,0,1,37,938.0540541,1092.08,25,5,1,2,1,0,20,1,-1,-1
Aajeng27,55,Aajeng2755,0,0,1,11,0,0,0,0,2,0,0,0,2,0,0,0,2,21,66.52380952,0,0,4,12,0,0,1,125,1,1,1
Aakanksha gupta,121,Aakanksha gupta121,0,0,1,108,0,1,0,0,3,1,0,0,5,1,0,0,5,32,293.0625,365.25,24,2,2,2,3,1,26,1,1,1
Aakankshapatil,201,Aakankshapatil201,0,0,1,21,0.063,0,0,0,1,0,0,0,1,0,0,0,1,7,757.1428571,2430,2,1,2,0,1,1,71,1,1,1
Aakra,335,Aakra335,0,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36.66666667,0,0,0,1,0,0,0,8,1,-1,-1
Aalbaeck,459,Aalbaeck459,0,0,1,39,-0.117,0,0,0,1,0,0,0,1,0,0,0,1,11,977.1818182,1336.666667,3,1,6,0,1,1,28,1,1,1
Aalcaide,336,Aalcaide336,0,0,1,28,-0.059,0,0,0,1,0,0,0,1,0,0,0,1,8,527.625,1000,2,1,3,0,1,0,28,1,-1,-1
Aalfano2,81,Aalfano281,0,0,1,30,0.045,0,0,0,1,0,0,0,3,0,0,0,3,6,271,699,2,0,2,1,1,0,90,1,-1,-1
Aali97,601,Aali97601,0,0,1,87,0.016,0,0,1,2,0,0,1,2,0,0,1,2,13,72.30769231,26,3,1,6,0,1,0,31,1,-1,-1
Aalvirez30,323,Aalvirez30323,0,0,1,59,-0.052,0,0,0,0,0,0,0,0,0,0,0,0,7,142.4285714,210.75,4,0,2,0,1,0,26,1,-1,-1
Aam156,24,Aam15624,1,0,1,82,0,0,0,0,0,0,0,0,2,0,0,0,4,41,547.6097561,329,22,5,12,2,2,1,32,1,1,1
Aam156,534,Aam156534,1,1,1,82,0,0,0,0,4,0,0,0,2,0,0,0,4,55,406.5636364,198.5277778,36,5,12,2,2,1,32,1,1,1
AAman45,755,AAman45755,0,0,1,70,0,5,0,2,3,2,0,1,3,5,0,1,3,153,224.496732,227.0689655,58,11,70,8,4,0,21,1,-1,1
Aanderle,53,Aanderle53,0,0,1,46,0,0,0,0,1,0,0,0,1,0,0,0,1,15,447.7333333,0,0,0,1,0,0,0,98,1,-1,-1
Aannggiiee00,359,Aannggiiee00359,0,0,1,113,0,0,2,0,4,0,2,0,4,0,2,0,4,38,218.7368421,217.5714286,28,0,5,5,11,1,30,1,1,1
Aanw3134,83,Aanw313483,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,28,1,1,1
AAPhysiology,210,AAPhysiology210,0,0,1,108,0,0,0,10,3,0,0,0,2,0,0,0,3,34,490.7058824,277.8333333,6,6,17,3,1,1,61,1,1,1
Aaqquino,677,Aaqquino677,0,0,1,27,0.002,0,0,0,1,0,0,0,1,0,0,0,1,14,113.7857143,4,1,1,7,3,1,0,29,1,-1,-1
Aaraiza1993,470,Aaraiza1993470,0,0,1,106,-4.279,0,1,0,5,0,1,0,4,0,1,0,5,28,366.6785714,407,17,1,4,3,2,1,34,1,1,1
Aareanwooten,141,Aareanwooten141,0,0,1,93,0.053,3,0,1,4,2,0,1,3,2,0,1,4,14,941.0714286,3275.5,2,2,4,5,1,0,48,1,-1,-1
Aarendas,92,Aarendas92,0,0,1,105,0.011,0,0,0,1,0,0,0,1,0,0,0,1,19,117.0526316,86.8,5,0,11,1,1,1,33,1,1,1
Aargudo,352,Aargudo352,0,0,1,441,0,1,0,0,1,1,0,0,3,1,0,0,3,35,157.4571429,-175.6666667,3,0,28,3,1,1,39,1,1,1
Aaron Aldana,710,Aaron Aldana710,0,0,1,44,2.848,0,1,1,4,0,1,1,5,0,1,1,6,69,125.8985507,76.19642857,56,4,4,4,2,1,20,1,1,1
Aaron Blake 15,155,Aaron Blake 15155,0,0,1,103,0,0,0,0,4,0,0,0,2,0,0,0,4,22,362,365.875,16,0,3,2,1,0,24,1,-1,-1
Aaron drill,599,Aaron drill599,0,0,1,13,0,0,0,0,1,0,0,0,3,0,0,0,3,3,73.66666667,0,0,0,2,0,0,0,34,1,-1,-1
Aaron.matzke,331,Aaron.matzke331,0,0,1,41,0,0,0,0,1,0,0,0,3,0,0,0,3,5,71.4,0,0,1,2,0,0,0,42,1,-1,-1
Aaron.Shukert,529,Aaron.Shukert529,0,0,1,46,0,0,0,0,1,0,0,0,1,0,0,0,1,10,110.4,0,0,1,5,3,0,0,121,1,-1,-1
Aaron1433,300,Aaron1433300,0,0,1,37,0.007,0,0,3,1,0,0,3,1,0,0,3,1,28,130.8571429,160.8333333,12,1,11,3,1,1,27,1,1,1
Aaronagarunov,132,Aaronagarunov132,0,0,1,57,1.395,1,1,0,1,1,1,0,1,1,1,0,1,41,296.1463415,839,5,3,24,7,1,1,74,1,1,-1
Aaroncjl,638,Aaroncjl638,0,0,1,55,0,0,0,0,1,0,0,0,3,0,0,0,3,15,2804.533333,6926.666667,3,2,9,0,3,0,15,1,-1,-1
Aaronhernandez16,55,Aaronhernandez1655,0,0,1,4,0,0,0,0,2,0,0,0,2,0,0,0,2,14,1380.928571,0,0,5,4,0,0,1,125,1,1,1
Aaronk2595,729,Aaronk2595729,0,0,1,47,0,0,0,0,1,0,0,0,1,0,0,0,1,12,696.3333333,1161.285714,7,0,2,0,1,0,45,1,-1,-1
Aaronmonoogan,310,Aaronmonoogan310,0,1,1,58,0,0,0,0,1,0,0,0,1,0,0,0,1,68,109.9705882,108.6779661,59,4,2,0,1,0,15,1,-1,-1
Aaronstodolak,704,Aaronstodolak704,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,33,1,1,1
Aarontang17,66,Aarontang1766,0,0,1,45,0,0,0,0,1,0,0,0,1,0,0,0,1,3,65.33333333,0,0,0,2,0,0,0,64,1,-1,-1
Aaronujl,612,Aaronujl612,0,0,1,65,0,3,1,2,2,2,1,2,2,3,1,2,2,32,455.65625,0,0,0,25,5,0,0,17,1,-1,-1
