control_wpid,courseID,uniqueID,return,return2,death,dayindex,score_diff,reach_out_stu,reach_out_wiki,reach_in_stu,reach_in_wiki,student_Outdegree,wiki_Outdegree,student_Indegree,wiki_Indegree,student_weighted_outdegree,wiki_weighted_outdegree,student_weighted_indegree,wiki_weighted_indegree,edit_count,ave_sizediff,article_sizediff,article_count,talk_count,user_count,usertalk_count,unique_article_numbers,group,class_size,control_wikied,indiv_group,group_recheck
Kml388,679,Kml388679,0,0,1,45,0,0,1,0,1,0,1,0,1,0,1,0,1,28,768.8214286,0,0,8,14,2,0,0,22,1,-1,-1
Kmlose93,170,Kmlose93170,0,0,1,49,0,0,0,0,8,0,0,0,2,0,0,0,8,13,756.1538462,1325,2,6,4,1,1,0,14,1,-1,-1
KMMerkle,29,KMMerkle29,0,0,1,105,0.558,1,0,0,1,1,0,0,1,1,0,0,1,15,69.2,232.6666667,6,2,3,1,2,1,16,1,1,1
KMonderine,631,KMonderine631,0,0,1,28,0.155,0,0,0,0,0,0,0,0,0,0,0,0,21,274.4761905,560.8333333,6,5,4,2,1,0,17,1,-1,-1
Kmorrabal86,702,Kmorrabal86702,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,21,98.23809524,0,0,0,19,0,0,0,14,1,-1,-1
Kmorri92,18,Kmorri9218,0,0,1,94,0,0,0,0,2,0,0,0,2,0,0,0,2,21,130.7619048,-26,8,0,12,0,7,0,31,1,-1,1
Kmorun,682,Kmorun682,0,0,1,98,1.468,0,0,1,2,0,0,1,2,0,0,1,2,13,551.5384615,-2,2,4,4,1,1,1,67,1,1,1
Kmraohist272,99,Kmraohist27299,0,0,1,101,0.072,0,0,0,1,0,0,0,1,0,0,0,1,10,176.2,420.3333333,3,0,6,0,1,1,40,1,1,-1
Kmsmitty296,330,Kmsmitty296330,0,0,1,91,0,0,0,0,1,0,0,0,1,0,0,0,1,20,132.5,0,0,0,13,4,0,1,34,1,1,1
Kmurphy487,580,Kmurphy487580,0,0,1,91,1.567,0,0,0,0,0,0,0,0,0,0,0,0,32,341.78125,1055.166667,6,1,24,0,1,0,30,1,-1,-1
Kmuwo,392,Kmuwo392,0,0,1,64,0.032,0,0,0,1,0,0,0,1,0,0,0,1,20,431.95,0,2,0,18,0,1,0,26,1,-1,1
Kmuzica,257,Kmuzica257,0,0,1,104,0,5,0,1,0,1,0,0,0,1,0,0,0,17,307.0588235,68.33333333,3,0,6,5,1,1,29,1,1,-1
Kmvoight,406,Kmvoight406,0,0,1,56,0,0,0,0,1,0,0,0,1,0,0,0,1,18,118.5555556,0,0,0,8,9,0,0,4,1,-1,-1
Kmwebber,108,Kmwebber108,0,0,1,725,0,3,5,1,8,2,3,1,6,3,5,1,8,448,279.2611607,303.0681818,308,46,52,12,31,1,14,1,1,1
Kmwitt,459,Kmwitt459,0,0,1,53,0.077,1,0,1,1,0,0,1,1,0,0,1,1,13,642.8461538,898,2,3,3,2,1,1,28,1,1,-1
Kmwsax,537,Kmwsax537,0,0,1,35,-0.018,0,0,0,1,0,0,0,3,0,0,0,3,4,69,83,1,0,2,0,1,0,23,1,-1,-1
Kmy28,679,Kmy28679,0,0,1,414,0,0,0,0,1,0,0,0,1,0,0,0,1,3,57,0,0,0,2,0,0,0,22,1,-1,-1
Knapolitano60,530,Knapolitano60530,0,0,1,81,1.305,2,0,2,1,0,0,0,3,0,0,0,3,41,687.8536585,1579,6,4,20,7,1,1,16,1,1,-1
Knave100,54,Knave10054,0,0,1,28,0.941,0,0,0,1,0,0,0,1,0,0,0,1,25,902.4,193,1,1,20,0,1,0,12,1,-1,-1
Knb398,401,Knb398401,0,0,1,78,0.021,0,0,0,1,0,0,0,1,0,0,0,1,26,26.65384615,6.7,20,0,5,0,6,0,29,1,-1,1
Knbv22,132,Knbv22132,0,0,1,58,0.175,0,0,0,1,0,0,0,1,0,0,0,1,4,459.25,1687,1,0,2,0,1,1,74,1,1,1
Knc989,268,Knc989268,0,0,1,65,0.061,0,0,0,1,0,0,0,1,0,0,0,1,11,806.5454545,644,1,3,3,0,1,0,14,1,-1,-1
KNChipman,105,KNChipman105,0,0,1,101,-0.004,0,0,0,1,0,0,0,1,0,0,0,1,19,98.10526316,35.63636364,11,3,4,0,9,1,20,1,1,1
Kneeds12,193,Kneeds12193,0,0,1,108,0,2,0,1,1,2,0,1,1,2,0,1,1,12,1128,779.1428571,7,0,2,2,1,0,16,1,-1,-1
Kneels nova210,416,Kneels nova210416,0,0,1,9,0,0,0,0,1,0,0,0,1,0,0,0,1,3,58,0,0,0,2,0,0,1,18,1,1,1
Kneiks15,164,Kneiks15164,0,0,1,7,0.114,0,0,0,0,0,0,0,0,0,0,0,0,5,86.2,228,1,0,4,0,1,0,47,1,-1,-1
Knfootball22,582,Knfootball22582,0,0,1,16,0.477,0,0,0,0,0,0,0,0,0,0,0,0,4,347.25,450.3333333,3,0,1,0,1,1,40,1,1,1
Knguyen887,660,Knguyen887660,0,0,1,73,0,0,0,0,2,0,0,0,2,0,0,0,2,11,531.2727273,2714.5,2,0,8,0,2,0,32,1,-1,1
Knhende2,173,Knhende2173,0,0,1,35,1.065,0,0,0,1,0,0,0,1,0,0,0,1,17,706.1764706,272,2,1,12,1,1,0,36,1,-1,-1
Knjohn7,670,Knjohn7670,0,0,1,60,0,0,0,0,1,0,0,0,1,0,0,0,1,5,45.8,0,0,1,2,0,0,1,26,1,1,1
Knm2093,28,Knm209328,0,0,1,106,0,0,0,0,1,0,0,0,1,0,0,0,1,7,450.8571429,909.3333333,3,0,3,0,1,1,31,1,1,1
Knmccor,284,Knmccor284,0,0,1,564,0,0,0,0,1,0,0,0,1,0,0,0,1,17,46.70588235,2.75,8,0,7,0,7,1,27,1,1,1
Knmercy13,90,Knmercy1390,0,0,1,84,0.962,0,0,0,1,0,0,0,1,0,0,0,1,168,137.4047619,73.7,100,13,45,5,4,1,19,1,1,1
Knmiller1122,315,Knmiller1122315,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,1,3,78.66666667,0,0,0,2,0,0,0,18,1,-1,-1
Knmorais444,413,Knmorais444413,0,0,1,23,1.856,1,0,0,1,1,0,0,1,1,0,0,1,15,866.1333333,2981.5,4,0,7,3,2,0,18,1,-1,1
Knoobie717,236,Knoobie717236,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1267.25,0,0,0,3,0,0,1,105,1,1,1
Knorori13,62,Knorori1362,0,0,1,51,0,0,0,0,1,0,0,0,1,0,0,0,1,41,138.2682927,32.5,4,0,35,0,1,1,28,1,1,1
Knowlin4,675,Knowlin4675,0,0,1,107,0.242,0,0,13,1,0,0,0,3,0,0,0,3,92,421.1304348,580.9230769,13,8,66,1,3,1,8,1,1,1
Knoyes7,639,Knoyes7639,0,0,1,35,0,1,0,0,0,1,0,0,0,1,0,0,0,9,82.66666667,0,0,0,5,1,0,1,28,1,1,1
KNPC2018,430,KNPC2018430,0,0,1,14,0.549,1,0,0,1,1,0,0,1,1,0,0,1,16,259.6875,505.8333333,6,1,6,2,2,1,17,1,1,1
Knstewart,159,Knstewart159,0,0,1,79,0,0,1,0,6,0,1,0,5,0,1,0,6,12,73.33333333,0,0,0,8,1,0,0,38,1,-1,-1
Kny1216,483,Kny1216483,0,0,1,58,-0.036,4,0,1,0,0,0,1,0,0,0,1,0,13,95.61538462,3.5,2,0,2,5,1,1,78,1,1,1
Ko.parham,354,Ko.parham354,0,0,1,108,0,0,0,0,1,0,0,0,1,0,0,0,1,9,92.22222222,0,0,1,4,0,0,1,28,1,1,1
Kobirener,472,Kobirener472,0,0,1,109,1.259,2,0,2,1,1,0,2,1,1,0,3,1,17,462.5294118,677.5714286,7,1,4,2,4,1,13,1,1,-1
KOdu,538,KOdu538,0,0,1,112,0,0,0,1,6,0,0,1,5,0,0,1,6,78,239.5897436,204.7352941,68,0,9,0,3,1,20,1,1,1
Koenig1969,727,Koenig1969727,0,0,1,221,0.035,0,0,0,1,0,0,0,1,0,0,0,1,7,103.2857143,42,1,0,4,0,1,0,22,1,-1,-1
Kohlhanh,736,Kohlhanh736,0,0,1,23,0.016,0,0,1,1,0,0,1,1,0,0,1,1,11,108.3636364,810,1,0,6,0,1,1,46,1,1,-1
Kojinglick,167,Kojinglick167,0,0,1,551,-1.016,0,0,0,0,0,0,0,2,0,0,0,2,43,150.7674419,263.5714286,14,7,3,1,1,1,17,1,1,1
Kojoorgle,542,Kojoorgle542,0,0,1,102,0,4,0,1,1,0,0,0,3,0,0,0,3,45,325.5111111,0,0,0,37,5,0,1,30,1,1,1
Kokar Oldiais,265,Kokar Oldiais265,0,0,1,24,0,0,0,0,1,0,0,0,1,0,0,0,1,5,76.6,0,0,0,4,0,0,1,32,1,1,1
Koko1027,245,Koko1027245,0,0,1,113,0,2,0,0,2,1,0,0,2,2,0,0,2,29,727.4827586,1155,17,4,4,3,2,0,16,1,-1,-1
Kolencherybj,663,Kolencherybj663,0,0,1,112,0.326,0,0,0,2,0,0,0,2,0,0,0,2,11,162.1818182,285.25,8,0,2,0,1,1,13,1,1,1
KoltonMussy97,648,KoltonMussy97648,0,0,1,10,0,0,0,0,1,0,0,0,1,0,0,0,1,7,79.71428571,0,0,0,5,0,0,1,22,1,1,1
Kolvitamin,440,Kolvitamin440,0,0,1,40,0,0,1,0,5,0,1,0,5,0,1,0,5,17,152.4117647,0,0,0,11,2,0,1,8,1,1,1
